Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,SS HWS max,Central Pressure (mb) min,States Affected Names All
1984-09-13 00:00:00,0700Z,33.9N,78.0W,95,2,15,979,NC2,Diana,North Carolina,2,979.0,North Carolina
1985-07-25 00:00:00,0300Z,32.2N,80.5W,65,1,20,1003,SC1,Bob,South Carolina,2,962.0,South Carolina
1985-08-15 00:00:00,1630Z,29.6N,92.7W,80,1,15,987,LA1,Danny,Louisiana,1,984.0,Louisiana
1985-09-02 00:00:00,1300Z,30.4N,89.2W,100,3,10,959,"AL3,MS3,AFL3",Elena,"Alabama, Florida, Mississippi",3,959.0,"Alabama, Florida, Mississippi"
1985-09-27 00:00:00,0530Z,35.2N,75.6W,90,2,15,942,NC3,Gloria,North Carolina,2,942.0,"North Carolina, Maine, New Hampshire, New York, Connecticut"
1985-10-29 00:00:00,1100Z,29.5N,91.4W,75,1,15,971,LA1,Juan,Louisiana,1,971.0,Louisiana
1985-11-21 00:00:00,2230Z,30.0N,85.4W,85,2,10,967,"AFL2,IGA1",Kate,"Florida, Georgia",2,967.0,"Florida, Georgia"
1986-06-26 00:00:00,0900Z,29.5N,94.2W,75,1,10,990,CTX1,Bonnie,Texas,2,964.0,Texas
1986-08-17 00:00:00,1400Z,34.7N,76.5W,65,1,15,990,NC1,Charley,North Carolina,4,941.0,North Carolina
1987-10-12 00:00:00,2100Z,25.1N,80.5W,65,1,10,993,BFL,Floyd,Florida,2,956.0,Florida
1988-09-09 00:00:00,2300Z,28.5N,89.3W,70,1,15,984,LA1,Florence,Louisiana,1,956.0,Louisiana
1989-08-01 00:00:00,1300Z,29.6N,94.4W,70,1,15,986,CTX1,Chantal,Texas,1,986.0,Texas
1989-09-22 00:00:00,0400Z,32.8N,79.8W,120,4,20,934,"SC4,INC1",Hugo,"North Carolina, South Carolina",4,934.0,"North Carolina, South Carolina"
1989-10-16 00:00:00,0030Z,29.2N,95.0W,75,1,10,983,CTX1,Jerry,Texas,1,983.0,Texas
1991-08-19 00:00:00,1720Z,41.2N,71.6W,90,2,25,962,"RI2,MA2,NY2,CT2",Bob,"Rhode Island, New York, Massachusetts, Connecticut",2,962.0,"Rhode Island, New York, Massachusetts, Connecticut"
1992-08-24 00:00:00,0905Z,25.5N,80.3W,145,5,10,922,"CFL5,BFL4",Andrew,Florida,5,922.0,Florida
1993-08-31 00:00:00,2100Z,35.2N,75.1W,100,3,30,961,NC3,Emily,North Carolina,3,961.0,North Carolina
1995-08-02 00:00:00,0615Z,27.7N,80.3W,75,1,40,984,CFL1,Erin,Florida,2,973.0,Florida
1995-10-04 00:00:00,2200Z,30.3N,87.1W,100,3,50,942,"AFL3,IAL1",Opal,"Florida, Alabama",3,942.0,"Florida, Alabama"
1996-07-12 00:00:00,2000Z,34.3N,77.8W,90,2,40,974,NC2,Betha,North Carolina,2,974.0,North Carolina
1996-09-06 00:00:00,0030Z,33.9N,78.0W,100,3,40,954,NC3,Fran,North Carolina,3,954.0,North Carolina
1997-07-18 00:00:00,0900Z,29.3N,89.7W,65,1,10,989,LA1,Danny,Louisiana,1,984.0,"Alabama, Louisiana"
1998-08-27 00:00:00,0400Z,34.4N,77.7W,95,2,60,964,NC2,Bonnie,North Carolina,2,964.0,North Carolina
1998-09-03 00:00:00,0600Z,30.1N,85.7W,70,1,70,987,AFL1,Earl,Florida,1,987.0,Florida
1998-09-25 00:00:00,1530Z,24.5N,81.8W,90,2,25,981,BFL2,Georges,Florida,2,964.0,Florida
1999-08-23 00:00:00,0000Z,26.9N,97.4W,100,3,10,951,ATX3,Bret,Texas,3,951.0,Texas
1999-09-16 00:00:00,0630Z,33.8N,78.0W,90,2,35,956,NC2,Floyd,North Carolina,2,956.0,North Carolina
1999-10-15 00:00:00,2000Z,25.3N,81.1W,70,1,40,987,BFL1,Irene,Florida,2,952.0,Florida
2002-10-03 00:00:00,1300Z,29.5N,92.2W,80,1,10,963,LA1,Lili,Louisiana,1,963.0,Louisiana
2003-07-15 00:00:00,1530Z,28.3N,96.2W,80,1,15,979,BTX1,Claudette,Texas,1,979.0,Texas
2003-09-18 00:00:00,1700Z,34.9N,76.2W,90,2,40,957,NC2,Isabel,North Carolina,2,957.0,North Carolina
2004-08-03 00:00:00,1700Z,35.1N,75.4W,70,1,15,972,NC1,Alex,North Carolina,1,972.0,North Carolina
2004-08-13 00:00:00,1945Z,26.6N,82.2W,130,4,5,941,BFL4,Charley,Florida,4,941.0,"Florida, South Carolina"
2004-08-29 00:00:00,1400Z,33.0N,79.6W,65,1,10,985,SC1,Gaston,South Carolina,1,985.0,South Carolina
2004-09-05 00:00:00,0430Z,27.2N,80.2W,90,2,30,960,"CFL2,BFL1",Frances,Florida,2,960.0,Florida
2004-09-16 00:00:00,0650Z,30.2N,87.9W,105,3,25,946,"AL3,AFL3",Ivan,"Alabama, Florida",3,946.0,"Alabama, Florida"
2004-09-26 00:00:00,0400Z,27.2N,80.2W,105,3,45,950,"CFL3,BFL1,AFL1",Jeanne,Florida,3,950.0,Florida
2005-07-06 00:00:00,0300Z,29.2N,90.1W,65,1,20,991,LA1,Cindy,Louisiana,3,946.0,Louisiana
2005-08-25 00:00:00,2230Z,26.0N,80.1W,70,1,15,984,"CFL1,BFL1",Katrina,Florida,3,920.0,"Florida, Louisiana, Mississippi, Alabama"
2005-09-15 00:00:00,0600Z,34.5N,76.3W,65,1,---,982,NC1,Ophelia,North Carolina,1,982.0,North Carolina
2005-09-24 00:00:00,0740Z,29.7N,93.7W,100,3,20,937,"LA3,CTX2",Rita,"Louisiana, Texas",3,937.0,"Louisiana, Texas"
2005-10-24 00:00:00,1030Z,25.9N,81.7W,105,3,25,950,"BFL3,CFL2",Wilma,Florida,3,950.0,Florida
2007-09-13 00:00:00,0700Z,29.6N,94.3W,80,1,10,985,"CTX1,LA1",Humberto,"Louisiana, Texas",1,985.0,"Louisiana, Texas"
2008-07-23 00:00:00,2000Z,26.4N,97.4W,70,1,10,967,ATX1,Dolly,Texas,1,967.0,Texas
2008-09-01 00:00:00,1500Z,29.2N,90.7W,90,2,25,954,LA2,Gustav,Louisiana,2,954.0,Louisiana
2008-09-13 00:00:00,0700Z,29.3N,94.7W,95,2,30,950,"CTX2,LA1",Ike,"Louisiana, Texas",2,950.0,"Louisiana, Texas"
2011-08-27 00:00:00,1200Z,34.7N,76.6W,75,1,45,952,NC1,Irene,North Carolina,2,952.0,North Carolina
2012-08-29 00:00:00,0000Z,28.9N,89.4W,70,1,40,967,LA1,Isaac,Louisiana,1,966.0,Louisiana
2012-10-29 00:00:00,2035Z,38.7N,73.9W,65,1,80,942,NY1,Sandy,New York,1,942.0,New York
2014-07-04 00:00:00,0315Z,34.7N,76.6W,85,2,20,973,NC2,Arthur,North Carolina,2,973.0,North Carolina
2016-09-02 00:00:00,0530Z,30.1N,84.1W,70,1,20,981,AFL1,Hermine,Florida,1,981.0,Florida
2016-10-08 00:00:00,1500Z,33.0N,79.5W,85,2,---,963,"DFL2, GA1, SC1, NC1",Matthew,"North Carolina, Florida, South Carolina, Georgia",2,963.0,"North Carolina, Florida, South Carolina, Georgia"
2017-08-26 00:00:00,0600Z,28.2N,97.1W,105,3,10,948,BTX4,Harvey,Texas,4,937.0,Texas
2017-09-10 00:00:00,1930Z,25.9N,81.7W,100,3,15,936,"BFL4,CFL1",Irma,Florida,4,931.0,Florida
2017-10-08 00:00:00,0000Z,29.1N,89.2W,75,1,15,983,LA1,Nate,Louisiana,1,983.0,"Mississippi, Louisiana"
2018-09-14 00:00:00,1115Z,34.2N,77.8W,80,1,25,956,NC1,Florence,North Carolina,1,956.0,North Carolina
2018-10-10 00:00:00,1730Z,30.0N,85.5W,140,5,10,919,"AFL5,I-GA2,AL1",Michael,"Florida, Georgia, Alabama",5,919.0,"Florida, Georgia, Alabama"
2019-07-13 00:00:00,1500Z,29.6N,92.2W,65,1,40,993,LA1,Barry,Louisiana,1,993.0,Louisiana
2019-09-06 00:00:00,1230Z,35.2N,75.6W,85,2,20,956,NC2,Dorian,North Carolina,2,956.0,North Carolina
2020-07-25 00:00:00,2200Z,26.8N,97.3W,80,1,20,973,ATX1,Hanna,Texas,1,973.0,Texas
2020-08-04 00:00:00,0310Z,33.9N,78.5W,80,1,25,986,"SC1,NC1",Isaias,"North Carolina, South Carolina",1,986.0,"North Carolina, South Carolina"
2020-08-27 00:00:00,0600Z,29.8N,93.3W,130,4,15,939,"LA4,CTX1",Laura,"Louisiana, Texas",4,939.0,"Louisiana, Texas"
2020-09-16 00:00:00,0945Z,30.3N,87.7W,95,2,15,965,"AFL2,AL2",Sally,"Florida, Alabama",2,965.0,"Florida, Alabama"
2020-10-09 00:00:00,2300Z,29.8N,93.1W,85,2,15,970,LA2,Delta,Louisiana,2,970.0,Louisiana
2020-10-28 00:00:00,2100Z,29.2N,90.6W,100,3,20,970,"LA3, MS2, I-AL1",Zeta,"Mississippi, Louisiana, Alabama",3,970.0,"Mississippi, Louisiana, Alabama"
2021-08-29 00:00:00,1655Z,29.1N,90.2W,130,4,10,931,LA4,Ida,Louisiana,4,931.0,Louisiana
2021-09-29 00:00:00,0530Z,28.7N,95.7W,65,1,20,991,CTX1,Nicholas,Texas,1,991.0,Texas
2022-09-28 00:00:00,1905Z,26.7N,82.2W,130,4,20,941,BFL4,Ian,Florida,4,941.0,"North Carolina, Florida"
2023-08-30 00:00:00,1145Z,29.9N,83.6W,100,3,10,950,"AFL3, IGA1",Idalia,"Florida, Georgia",3,950.0,"Florida, Georgia"
