Date,Time,Latitude,Longitude,Max Winds (kt),SS  HWS,RMW nm,Central Pressure (mb),States Affected,Storm Names,States Affected Names,SS HWS max,Central Pressure (mb) min,States Affected Names All
1889-09-23 00:00:00,0400Z,29.1N,89.8W,70,1,---,982,LA1,---------------,Louisiana,4,927.0,Louisiana
1891-07-05 00:00:00,2200Z,28.8N,95.5W,80,1,---,974,"BTX1,CTX1",---------------,Texas,4,927.0,Texas
1891-08-24 00:00:00,1500Z,25.4N,80.2W,70,1,---,985,CFL1,---------------,Florida,4,927.0,Florida
1893-08-24 00:00:00,1200Z,40.7N,73.9W,75,1,30,986,"NY1,CT1","""Midnight Storm""","New York, Connecticut",3,954.0,"New York, Connecticut"
1893-09-07 00:00:00,1400Z,29.2N,91.1W,85,2,---,970,LA2,---------------,Louisiana,4,927.0,Louisiana
1893-10-02 00:00:00,0800Z,29.3N,89.8W,115,4,10,948,LA4,"""Chenier Caminanda""",Louisiana,4,948.0,"Mississippi, Louisiana, Alabama"
1893-10-13 00:00:00,1300Z,33.0N,79.5W,105,3,15,955,"SC3,NC2,IVA1",---------------,"North Carolina, South Carolina, Virginia",4,927.0,"North Carolina, South Carolina, Virginia"
1894-09-25 00:00:00,1100Z,24.7N,82.0W,80,1,---,985,BFL1,---------------,Florida,4,927.0,Florida
1894-10-09 00:00:00,0300Z,30.2N,85.5W,105,3,---,950,"AFL3,IGA1",---------------,"Florida, Georgia",4,927.0,"Florida, Georgia"
1895-08-30 00:00:00,0400Z,25.0N,97.6W,65,1,---,963,ATX1,---------------,Texas,4,927.0,Texas
1896-07-07 00:00:00,1700Z,30.4N,86.5W,85,2,---,970,AFL2,---------------,Florida,4,927.0,Florida
1896-09-10 00:00:00,1300Z,41.2N,70.6W,70,1,30,985,"RI1,MA1",---------------,"Rhode Island, Massachusetts",4,927.0,"Rhode Island, Massachusetts"
1896-09-29 00:00:00,1100Z,29.2N,83.1W,110,3,15,960,"AFL3,DFL3,GA2,SC1,INC1,IVA1",---------------,"North Carolina, Virginia, Florida, South Carolina, Georgia",4,927.0,"North Carolina, Virginia, Florida, South Carolina, Georgia"
1897-09-13 00:00:00,0500Z,29.7N,93.8W,75,1,---,978,"LA1,TX1",---------------,"Louisiana, Texas",4,927.0,"Louisiana, Texas"
1898-08-02 00:00:00,2300Z,29.7N,84.8W,70,1,---,982,AFL1,---------------,Florida,4,927.0,Florida
1898-08-31 00:00:00,0700Z,32.1N,80.8W,75,1,---,980,"GA1,SC1",---------------,"South Carolina, Georgia",4,927.0,"South Carolina, Georgia"
1898-10-02 00:00:00,1600Z,30.9N,81.4W,115,4,20,938,"GA4,DFL2",---------------,"Florida, Georgia",4,927.0,"Florida, Georgia"
1899-08-01 00:00:00,1700Z,29.7N,84.7W,85,2,10,979,AFL2,---------------,Florida,4,927.0,Florida
1899-08-18 00:00:00,0100Z,35.2N,75.8W,105,3,---,945,NC3,---------------,North Carolina,4,927.0,North Carolina
1899-10-31 00:00:00,0900Z,33.6N,79.0W,95,2,35,955,"NC2,SC2",---------------,"North Carolina, South Carolina",4,927.0,"North Carolina, South Carolina"
1900-09-09 00:00:00,0200Z,29.1N,95.1W,120,4,15,936,CX4,"""Galveston""",CX,4,936.0,CX
1901-07-11 00:00:00,0700Z,36.0N,75.8W,70,1,---,983,NC1,---------------,North Carolina,4,927.0,North Carolina
1901-08-14 00:00:00,2100Z,29.3N,89.6W,75,1,---,973,LA1,---------------,Louisiana,4,927.0,Louisiana
1903-09-11 00:00:00,2300Z,26.1N,80.1W,75,1,45,976,CFL1,---------------,Florida,4,927.0,Florida
1904-09-14 00:00:00,1300Z,33.1N,79.2W,70,1,---,985,SC1,---------------,South Carolina,4,927.0,South Carolina
1904-10-17 00:00:00,0800Z,25.3N,80.3W,70,1,---,985,CFL1,---------------,Florida,4,927.0,Florida
1906-06-17 00:00:00,0300Z,24.7N,81.1W,70,1,---,986,"BFL1,CFL1",---------------,Florida,4,927.0,Florida
1906-09-17 00:00:00,2200Z,33.3N,79.2W,80,1,30,977,"SC1,NC1",---------------,"North Carolina, South Carolina",4,927.0,"North Carolina, South Carolina"
1906-09-27 00:00:00,1100Z,30.2N,88.6W,95,2,45,958,"MS2,AL2,AFL2,LA1",---------------,"Mississippi, Florida, Louisiana, Alabama",4,927.0,"Mississippi, Florida, Louisiana, Alabama"
1906-10-18 00:00:00,1000Z,24.7N,81.1W,105,3,10,953,"BFL3,CFL3",---------------,Florida,4,927.0,Florida
1908-07-31 00:00:00,1100Z,34.6N,77.1W,70,1,---,985,NC1,---------------,North Carolina,4,927.0,North Carolina
1909-06-29 00:00:00,1700Z,26.1N,97.2W,85,2,---,972,ATX2,---------------,Texas,4,927.0,Texas
1909-07-21 00:00:00,1700Z,28.9N,95.3W,100,3,20,959,CTX3,"""Velasco""",Texas,3,959.0,Texas
1909-08-27 00:00:00,2200Z,23.7N,97.7W,65,1,---,955,ATX1,---------------,Texas,4,927.0,Texas
1909-09-21 00:00:00,0000Z,29.5N,91.3W,100,3,30,952,"LA3,MS2","""Grand Isle""","Mississippi, Louisiana",3,952.0,"Mississippi, Louisiana"
1909-10-11 00:00:00,1800Z,24.7N,81.0W,100,3,20,957,"BFL3,CFL3",---------------,Florida,4,927.0,Florida
1910-09-14 00:00:00,2200Z,26.9N,97.4W,90,2,---,965,ATX2,---------------,Texas,4,927.0,Texas
1910-10-17 00:00:00,1900Z,24.6N,82.6W,90,2,---,941,BFL2,---------------,Florida,4,927.0,Florida
1911-08-11 00:00:00,2200Z,30.3N,87.5W,70,1,---,982,"AFL1,AL1",---------------,"Florida, Alabama",4,927.0,"Florida, Alabama"
1911-08-28 00:00:00,1000Z,32.2N,80.7W,85,2,25,972,"GA1,SC2",---------------,"South Carolina, Georgia",4,927.0,"South Carolina, Georgia"
1912-09-14 00:00:00,0800Z,30.3N,88.4W,65,1,50,986,"AL1,AFL1",---------------,"Alabama, Florida",4,927.0,"Alabama, Florida"
1912-10-16 00:00:00,1800Z,27.1N,97.4W,85,2,---,970,ATX2,---------------,Texas,4,927.0,Texas
1913-06-28 00:00:00,0100Z,27.1N,97.4W,65,1,---,986,ATX1,---------------,Texas,4,927.0,Texas
1913-09-03 00:00:00,0800Z,34.7N,76.6W,75,1,40,976,NC1,---------------,North Carolina,4,927.0,North Carolina
1913-10-08 00:00:00,1400Z,33.1N,79.4W,65,1,---,989,SC1,---------------,South Carolina,4,927.0,South Carolina
1915-08-01 00:00:00,1800Z,28.7N,80.8W,65,1,15,990,DFL1,---------------,Florida,4,927.0,Florida
1915-08-17 00:00:00,0700Z,29.2N,95.1W,115,4,25,940,"CTX4,BTX1,LA1","""Galveston""","Louisiana, Texas",4,936.0,"Louisiana, Texas"
1915-09-04 00:00:00,1100Z,30.0N,85.4W,80,1,25,982,AFL1,---------------,Florida,4,927.0,Florida
1915-09-29 00:00:00,1800Z,29.0N,90.3W,110,3,20,944,"LA3,MS2","""New Orleans""","Mississippi, Louisiana",3,944.0,"Mississippi, Louisiana"
1916-07-05 00:00:00,2100Z,30.4N,88.4W,105,3,20,950,"MS3,AL2,AFL2",---------------,"Mississippi, Florida, Alabama",4,927.0,"Mississippi, Florida, Alabama"
1916-07-14 00:00:00,0800Z,32.9N,79.5W,95,2,20,960,SC2,---------------,South Carolina,4,927.0,South Carolina
1916-08-18 00:00:00,2200Z,27.0N,97.4W,115,4,25,932,ATX4,---------------,Texas,4,927.0,Texas
1916-10-18 00:00:00,1400Z,30.4N,87.4W,95,2,20,970,"AL2,AFL2",---------------,"Alabama, Florida",4,927.0,"Alabama, Florida"
1917-09-29 00:00:00,0200Z,30.4N,86.6W,100,3,40,949,"AFL3,LA2,AL1",---------------,"Florida, Louisiana, Alabama",4,927.0,"Florida, Louisiana, Alabama"
1918-08-06 00:00:00,1800Z,29.8N,93.2W,105,3,10,955,"LA3,CTX1",---------------,"Louisiana, Texas",4,927.0,"Louisiana, Texas"
1918-08-24 00:00:00,2100Z,34.8N,76.8W,65,1,30,988,NC1,---------------,North Carolina,4,927.0,North Carolina
1919-09-10 00:00:00,0700Z,24.6N,82.9W,130,4,15,927,"BFL4,CFL2",---------------,Florida,4,927.0,Florida
1920-09-22 00:00:00,0100Z,29.1N,90.8W,85,2,30,975,LA2,---------------,Louisiana,4,927.0,Louisiana
1921-06-22 00:00:00,1800Z,28.5N,95.9W,80,1,15,980,"BTX1,CTX1",---------------,Texas,4,927.0,Texas
1921-10-25 00:00:00,2000Z,28.1N,82.8W,100,3,20,958,"BFL3,AFL2,DFL1","""Tampa Bay""",Florida,3,958.0,Florida
1923-10-16 00:00:00,0600Z,29.2N,91.0W,70,1,45,983,"LA1,MS1",---------------,"Mississippi, Louisiana",4,927.0,"Mississippi, Louisiana"
1924-08-26 00:00:00,1900Z,41.2N,70.2W,65,1,40,968,MA1,---------------,Massachusetts,4,927.0,"North Carolina, Massachusetts"
1924-09-15 00:00:00,1400Z,29.7N,85.3W,75,1,---,980,AFL1,---------------,Florida,4,927.0,Florida
1924-10-21 00:00:00,0100Z,25.8N,81.8W,80,1,20,975,"BFL1,CFL1",---------------,Florida,4,927.0,Florida
1926-07-28 00:00:00,1000Z,29.0N,80.8W,90,2,15,967,"DFL2,CFL1",---------------,Florida,4,927.0,Florida
1926-08-25 00:00:00,2300Z,29.2N,90.9W,100,3,20,955,LA3,---------------,Louisiana,4,927.0,Louisiana
1926-09-18 00:00:00,1200Z,25.6N,80.3W,125,4,20,930,"CFL4,BFL3","""Great Miami""",Florida,4,930.0,Florida
1926-10-21 00:00:00,0300Z,25.0N,80.3W,75,1,20,949,"BFL1,CFL1",---------------,Florida,4,927.0,Florida
1928-08-08 00:00:00,0700Z,27.3N,80.2W,85,2,10,977,CFL2,---------------,Florida,4,927.0,Florida
1928-09-17 00:00:00,0000Z,26.7N,80.0W,125,4,30,929,"CFL4,BFL3,AFL1,DFL1","""Lake Okeechobee""",Florida,4,929.0,Florida
1929-06-28 00:00:00,2100Z,28.3N,96.4W,80,1,10,982,BTX1,---------------,Texas,4,927.0,Texas
1929-09-28 00:00:00,1300Z,25.0N,80.5W,100,3,30,948,"BFL3, CFL3",---------------,Florida,4,927.0,Florida
1932-08-14 00:00:00,0400Z,29.0N,95.2W,130,4,10,935,"CTX4,BTX1","""Freeport""",Texas,4,935.0,Texas
1932-09-01 00:00:00,0500Z,30.2N,88.1W,75,1,---,979,"AFL1,AL1,MS1",---------------,"Florida, Mississippi, Alabama",4,927.0,"Florida, Mississippi, Alabama"
1933-07-30 00:00:00,1600Z,27.1N,80.1W,65,1,---,988,CFL1,---------------,Florida,4,927.0,Florida
1933-08-05 00:00:00,0100Z,25.8N,97.2W,80,1,25,975,ATX,---------------,Texas,4,927.0,Texas
1933-08-23 00:00:00,1000Z,35.8N,75.6W,80,1,40,963,"NC1,VA1,MD1",---------------,"North Carolina, Maryland, Virginia",4,927.0,"North Carolina, Maryland, Virginia"
1933-09-04 00:00:00,0500Z,26.9N,80.1W,110,3,15,948,CF3,---------------,CF,4,927.0,CF
1933-09-16 00:00:00,1200Z,35.2N,75.4W,85,2,40,952,"NC2,VA1",---------------,"North Carolina, Virginia",4,927.0,"North Carolina, Virginia"
1934-06-16 00:00:00,1900Z,29.7N,91.7W,85,2,30,966,LA2,---------------,Louisiana,4,927.0,Louisiana
1934-07-25 00:00:00,1700Z,28.1N,96.8W,75,1,25,979,ATX1,---------------,Texas,4,927.0,Texas
1934-09-08 00:00:00,2200Z,39.7N,73.4W,65,1,---,984,NJ1,---------------,New Jersey,4,927.0,"North Carolina, New Jersey"
1935-09-03 00:00:00,0200Z,24.8N,80.8W,160,5,5,892,"CFL5, BFL5","""Labor Day""",Florida,5,892.0,Florida
1935-11-04 00:00:00,1800Z,25.9N,80.1W,85,2,10,973,"CFL2, BFL1",---------------,Florida,4,927.0,Florida
1936-06-27 00:00:00,1600Z,27.9N,97.0W,70,1,5,987,BTX1,---------------,Texas,4,927.0,Texas
1936-07-31 00:00:00,1400Z,30.4N,86.6W,90,2,20,964,"AFL2, I-AL1",---------------,"Florida, Alabama",4,927.0,"Florida, Alabama"
1936-09-18 00:00:00,1000Z,35.6N,74.8W,75,1,35,964,"NC1, VA1",---------------,"North Carolina, Virginia",4,927.0,"North Carolina, Virginia"
1938-08-15 00:00:00,0100Z,29.8N,93.4W,65,1,---,995,LA1,---------------,Louisiana,4,927.0,Louisiana
1938-09-21 00:00:00,2000Z,40.7N,72.9W,105,3,40,941,NY3,"""Great New England""",New York,3,941.0,"Rhode Island, New York, Massachusetts, Connecticut"
1939-08-11 00:00:00,2300Z,27.2N,80.2W,65,1,---,987,CFL1,---------------,Florida,4,927.0,Florida
1940-08-07 00:00:00,2100Z,29.7N,94.1W,85,2,10,972,"CTX2, LA2",---------------,"Louisiana, Texas",4,927.0,"Louisiana, Texas"
1941-09-23 00:00:00,2200Z,28.8N,95.6W,110,3,20,942,"CTX3,BTX2",---------------,Texas,4,927.0,Texas
1941-10-06 00:00:00,1000Z,25.5N,80.2W,85,2,10,980,"CFL2,BFL1",---------------,Florida,4,927.0,Florida
1942-08-21 00:00:00,1300Z,29.5N,94.6W,65,1,---,992,CTX1,---------------,Texas,4,927.0,Texas
1942-08-30 00:00:00,0900Z,28.3N,96.6W,100,3,20,950,"BTX3,CTX2",---------------,Texas,4,927.0,Texas
1943-07-27 00:00:00,1800Z,29.5N,94.6W,90,2,15,967,CTX2,---------------,Texas,4,927.0,Texas
